code,name,market,industry
3180,ビューティガレージ,プライム,卸売業
3181,買取王国,スタンダード,小売業
3182,オイシックス,プライム,小売業
3183,ウイン・パートナーズ,プライム,卸売業
3184,ＩＣＤＡホールディングス,スタンダード,小売業
3185,夢展望,グロース,小売業
3186,ネクステージ,プライム,小売業
3187,ミラタップ,グロース,小売業
3189,ＡＮＡＰホールディングス,スタンダード,小売業
3190,ホットマン,スタンダード,小売業
3191,ジョイフル本田,プライム,小売業
3192,白鳩,スタンダード,小売業
3193,エターナルホスピタリティグループ,プライム,小売業
3195,ジェネレーションパス,スタンダード,小売業
3196,ホットランドホールディングス,プライム,小売業
3197,すかいらーくホールディングス,プライム,小売業
3199,綿半ホールディングス,プライム,小売業
3201,日本毛織,プライム,繊維製品
3202,ダイトウボウ,スタンダード,繊維製品
3204,トーア紡コーポレーション,スタンダード,繊維製品
3205,ダイドーリミテッド,スタンダード,繊維製品
3221,ヨシックスホールディングス,プライム,小売業
3222,ユナイテッド・スーパーマーケット・ホールディングス,スタンダード,小売業
3223,エスエルディー,スタンダード,小売業
3224,ゼネラル・オイスター,グロース,小売業
3231,野村不動産ホールディングス,プライム,不動産業
3232,三重交通グループホールディングス,プライム,不動産業
3236,プロパスト,スタンダード,不動産業
3237,イントランス,グロース,不動産業
3238,セントラル総合開発,スタンダード,不動産業
3241,ウィル,スタンダード,不動産業
3242,アーバネットコーポレーション,スタンダード,不動産業
3245,ディア・ライフ,プライム,不動産業
3246,コーセーアールイー,スタンダード,不動産業
3248,アールエイジ,スタンダード,不動産業
3252,地主,プライム,不動産業
3261,グランディーズ,グロース,不動産業
3266,ファンドクリエーショングループ,スタンダード,不動産業
3267,フィル・カンパニー,スタンダード,建設業
3276,ＪＰＭＣ,プライム,不動産業
3277,サンセイランディック,スタンダード,不動産業
3280,エストラスト,スタンダード,不動産業
3284,フージャースホールディングス,プライム,不動産業
3286,トラストホールディングス,スタンダード,不動産業
3288,オープンハウスグループ,プライム,不動産業
3289,東急不動産ホールディングス,プライム,不動産業
3291,飯田グループホールディングス,プライム,不動産業
3293,アズマハウス,スタンダード,不動産業
3297,東武住販,スタンダード,不動産業
3299,ムゲンエステート,スタンダード,不動産業
3300,アンビション　ＤＸ　ホールディングス,グロース,不動産業
3302,帝国繊維,プライム,繊維製品
3306,日本製麻,スタンダード,卸売業
3315,日本コークス工業,プライム,石油・石炭製品
3317,フライングガーデン,スタンダード,小売業
3320,クロスプラス,スタンダード,卸売業
3321,ミタチ産業,スタンダード,卸売業
3323,レカム,スタンダード,卸売業
3326,ランシステム,スタンダード,サービス業
